voc,tot,frac,frac_round,per
E_ETH,7619.9497,0.01400938,0.01,1.400938
E_HC3,33891.89,0.0623107,0.06,6.23107
E_HC5,36767.285,0.06759715,0.07,6.759715
E_HC8,36280.727,0.066702604,0.07,6.6702604
E_OL2,41204.52,0.07575507,0.08,7.5755067
E_OLT,37364.504,0.06869514,0.07,6.8695145
E_OLI,23850.242,0.04384899,0.04,4.384899
E_ISO,212.14883,0.0003900385,0.0,0.03900385
E_TOL,24140.025,0.044381764,0.04,4.438176
E_XYL,14819.277,0.027245441,0.03,2.724544
E_KET,215.70682,0.00039657988,0.0,0.039657988
E_CH3OH,219.9053,0.00040429886,0.0,0.040429886
E_C2H5OH,237594.52,0.43682072,0.44,43.68207
E_HCHO,25830.354,0.047489453,0.05,4.748945
E_ALD,23906.617,0.043952636,0.04,4.3952637
